Index,Value
0,0.738502
1,1.89671e-08
2,1.0803e-09
3,1.20656e-05
4,4.74494e-07
5,0.00232676
6,2.65364e-05
7,1.24859e-13
8,3.20818e-11
9,7.63756e-13
10,1.02123e-12
11,3.58572e-10
12,5.77568e-11
13,7.89113e-10
14,5.5951e-12
15,1.56098e-10
16,5.46774e-12
17,8.70011e-11
18,4.34036e-13
19,8.66004e-13
20,2.76009e-13
21,1.65993e-11
22,8.94929e-15
23,3.95083e-13
24,8.40924e-13
25,5.74593e-10
26,1.90137e-06
27,9.83323e-09
28,3.9723e-12
29,1.46593e-06
30,3.52048e-09
31,2.75572e-08
32,2.91304e-09
33,8.85614e-07
34,1.49853e-09
35,4.20948e-10
36,3.981e-08
37,2.30407e-09
38,4.73306e-08
39,2.70536e-05
40,1.53959e-07
41,1.53813e-09
42,1.4242e-08
43,5.23545e-07
44,2.20891e-08
45,2.19789e-13
46,6.4966e-08
47,3.37402e-08
48,3.23172e-05
49,1.80715e-09
50,6.85567e-06
51,6.81244e-11
52,8.36627e-08
53,1.8218e-09
54,1.82065e-07
55,3.47652e-08
56,1.80298e-10
57,3.44067e-13
58,6.41686e-08
59,1.75814e-09
60,3.27919e-08
61,1.81854e-07
62,1.70752e-07
63,1.33195e-07
64,1.87049e-09
65,1.21507e-06
66,3.02975e-08
67,8.56943e-07
68,6.68491e-08
69,6.86939e-12
70,1.03944e-12
71,5.55208e-12
72,4.74737e-15
73,3.38894e-14
74,4.64273e-14
75,9.40346e-14
76,1.05279e-14
77,9.79924e-15
78,7.68834e-11
79,4.35547e-13
80,1.93586e-13
81,7.37561e-11
82,5.7113e-09
83,3.82258e-12
84,4.40633e-09
85,2.18971e-10
86,2.00533e-08
87,1.96873e-13
88,2.37588e-15
89,8.86277e-13
90,4.71192e-14
91,2.52171e-10
92,2.39963e-11
93,5.05265e-13
94,7.49974e-11
95,1.44081e-13
96,2.19713e-14
97,6.48563e-11
98,4.1787e-14
99,4.00921e-10
100,5.75453e-13
101,3.02723e-10
102,1.17927e-10
103,6.82926e-06
104,4.5312e-07
105,2.15628e-11
106,3.73302e-10
107,7.2448e-10
108,2.68842e-10
109,3.86275e-11
110,1.72914e-06
111,4.84745e-10
112,9.4129e-07
113,4.77998e-06
114,4.145e-05
