Index,Value
0,9.6792e-16
1,1.2176e-16
2,2.56402e-13
3,1.99859e-13
4,3.684e-13
5,6.32061e-13
6,1.01049e-14
7,7.61627e-14
8,1.37469e-10
9,9.66443e-13
10,6.85746e-15
11,1.62175e-15
12,2.82792e-13
13,1.96173e-11
14,1.28658e-13
15,2.18434e-15
16,3.62975e-10
17,1.88167e-08
18,9.60193e-14
19,3.05332e-14
20,2.24691e-15
21,4.0921e-10
22,1.87575e-13
23,8.89981e-12
24,4.20884e-11
25,5.90595e-18
26,8.37798e-17
27,1.54212e-17
28,8.78565e-17
29,7.63125e-16
30,8.53085e-16
31,5.94224e-16
32,1.00752e-15
33,1.21369e-15
34,8.01195e-15
35,4.24525e-15
36,7.04953e-15
37,8.37272e-16
38,8.27714e-15
39,1.77348e-15
40,9.46172e-17
41,5.58472e-15
42,1.37868e-14
43,2.2989e-13
44,5.21918e-16
45,1.49701e-16
46,5.22288e-15
47,9.37389e-13
48,1.73662e-16
49,1.21202e-17
50,1.92066e-16
51,1.1942e-11
52,2.82287e-17
53,2.00643e-18
54,9.45584e-17
55,3.53122e-19
56,8.26971e-18
57,3.40445e-19
58,6.48102e-18
59,5.16508e-18
60,1.38722e-17
61,9.1814e-17
62,3.04894e-16
63,5.57713e-16
64,5.20634e-18
65,5.12657e-17
66,1.83096e-14
67,4.87643e-18
68,4.03106e-15
69,8.66058e-16
70,2.60066e-18
71,3.68968e-16
72,4.78855e-19
73,3.18824e-17
74,2.02208e-18
75,1.07599e-16
76,2.53994e-16
77,1.2559e-15
78,2.98519e-16
79,9.25619e-18
80,5.0766e-13
81,4.89489e-14
82,4.28285e-11
83,1.42959e-12
84,6.5163e-14
85,1.30499e-12
86,4.83177e-11
87,6.56715e-14
88,1.18939e-12
89,1.32096e-15
90,3.99658e-16
91,3.33212e-14
92,2.25971e-15
93,3.07496e-13
94,2.9652e-12
95,9.27335e-15
96,9.16959e-14
97,3.24474e-15
98,5.73654e-14
99,3.32068e-16
100,1.00538e-16
101,2.03813e-17
102,3.47561e-14
103,3.2407e-14
104,9.70851e-11
105,3.87919e-11
106,1.44177e-10
107,6.90099e-17
108,1.09303e-15
109,1.1015e-16
110,3.41633e-15
111,3.27481e-17
112,1.12398e-12
113,2.08443e-15
114,3.00589e-17
115,1.33707e-16
116,1.02638e-17
117,7.21518e-13
118,8.39589e-18
119,3.40576e-17
120,2.81604e-17
121,3.32495e-18
122,1.80947e-16
123,3.14028e-16
124,1.6351e-15
125,1.44001e-15
126,1.87897e-17
127,1.95898e-15
128,1.53026e-14
129,7.66117e-16
130,3.1026e-17
131,4.37184e-15
132,4.40871e-17
133,5.08712e-15
134,6.62726e-16
135,1.21756e-15
136,5.41888e-13
137,2.89427e-15
138,1.19141e-12
139,6.6129e-15
140,5.39667e-16
141,1.23264e-12
142,1.42256e-15
143,1.81406e-14
144,2.37967e-15
145,5.54402e-12
146,2.2106e-14
147,7.88808e-15
148,3.4098e-13
149,2.70825e-15
150,5.54686e-12
151,6.50747e-08
152,1.06457e-11
153,6.32159e-14
154,5.26938e-12
155,1.93154e-12
156,4.06989e-16
157,4.85399e-12
158,8.02617e-12
159,9.89355e-16
160,9.2073e-14
161,1.41545e-15
162,6.15652e-15
163,1.20271e-15
164,9.41446e-16
165,3.33591e-16
166,9.30327e-17
167,4.50556e-17
168,7.62605e-16
169,4.05826e-16
170,5.06865e-13
171,4.6897e-13
172,2.29672e-14
173,2.44797e-13
174,1.26543e-07
175,4.36342e-14
176,5.40904e-16
177,1.96897e-13
178,4.80675e-14
179,1.02285e-12
180,2.59708e-13
181,4.18296e-14
182,2.17351e-13
183,2.3954e-13
184,1.11396e-14
185,2.10244e-11
186,1.19109e-10
187,2.49291e-11
188,6.80169e-13
189,3.2477e-14
190,9.4608e-14
191,6.36322e-15
192,1.0013e-12
193,2.16542e-11
194,1.35135e-13
195,1.18293e-09
196,3.45309e-11
197,4.53458e-12
198,2.20804e-09
199,1.87196e-11
200,2.0652e-14
201,5.11232e-14
202,3.8019e-14
203,5.06119e-12
204,2.37318e-13
205,1.11262e-13
206,1.0428e-15
207,1.37187e-13
208,1.66651e-13
209,2.15095e-15
210,1.16731e-15
211,2.72937e-14
212,5.27793e-16
213,6.87213e-17
214,9.96544e-16
215,3.04037e-15
216,6.38253e-15
217,2.90842e-15
218,3.53164e-16
219,2.53893e-14
220,8.00523e-14
221,2.11734e-15
222,2.08559e-13
223,3.79557e-07
224,2.02833e-10
225,2.01537e-11
226,8.05124e-13
227,1.0799e-08
228,4.96744e-15
229,2.85812e-13
230,2.73161e-13
231,6.71486e-12
232,1.39966e-10
233,4.67891e-10
234,3.58701e-14
235,2.16243e-10
236,8.95603e-15
237,3.05632e-12
238,3.88754e-15
239,1.75958e-14
240,4.93609e-13
241,6.13727e-16
242,5.98636e-15
243,1.37959e-15
244,4.62209e-13
245,2.07379e-10
246,1.96761e-14
247,9.30512e-16
248,5.96346e-08
249,3.59813e-08
250,2.22962e-08
251,5.9549e-16
252,1.23794e-10
253,8.18125e-12
254,1.18701e-12
255,4.41053e-14
256,5.33903e-13
257,6.83766e-14
258,5.80878e-14
259,3.19428e-10
260,5.33141e-12
261,4.44584e-09
262,1.24549e-09
263,3.76618e-10
264,1.43302e-09
265,1.42974e-15
266,5.87655e-16
267,1.76872e-15
268,6.36056e-13
269,5.22129e-09
270,2.84959e-09
271,2.07689e-11
272,2.68335e-11
273,4.20413e-11
274,1.80133e-11
275,5.8021e-14
276,1.3719e-13
277,3.91032e-06
278,1.25562e-06
279,2.18154e-06
280,2.1684e-07
281,0.931461
282,0.0029268
283,0.000193039
284,4.96062e-06
285,0.0653068
286,5.59303e-07
287,5.64265e-05
288,1.69164e-11
289,2.57125e-09
290,2.82274e-11
291,1.402e-10
292,2.30532e-07
293,4.65155e-11
294,1.82202e-12
295,3.44014e-11
296,3.90157e-12
297,4.52331e-14
298,5.47073e-11
299,5.13188e-10
300,1.26336e-17
301,2.06464e-16
302,9.15196e-16
303,7.01231e-17
304,3.91e-18
305,1.3333e-17
306,1.23806e-13
307,7.20661e-18
308,4.81814e-17
309,3.95133e-16
310,2.39433e-16
311,1.46851e-16
312,1.99562e-16
313,9.81929e-17
314,6.91579e-18
315,2.46534e-18
316,2.65226e-17
317,3.1108e-16
318,6.27483e-17
319,4.89726e-16
320,2.59641e-16
321,4.00751e-18
322,1.45657e-13
323,3.96088e-18
324,7.15958e-16
325,1.37724e-15
326,4.53688e-15
327,9.59626e-15
328,1.23513e-16
329,5.03884e-15
330,1.41371e-09
331,2.10599e-08
332,2.33191e-10
333,7.04748e-08
334,1.80637e-13
335,2.10369e-09
336,2.84569e-12
337,2.42759e-13
338,4.05433e-12
339,5.841e-16
340,1.95849e-12
341,1.32477e-11
342,5.51257e-13
343,1.50112e-14
344,1.045e-13
345,4.95477e-16
346,2.29267e-16
347,5.42201e-16
348,3.28697e-14
349,6.72925e-15
350,5.68402e-14
351,2.90128e-18
352,6.86709e-16
353,5.93032e-15
354,1.08211e-12
355,7.12735e-15
356,1.75168e-07
357,4.1029e-07
358,1.22599e-08
359,3.21785e-08
360,4.10244e-10
361,2.31507e-12
362,1.52072e-12
363,2.33142e-14
364,1.52166e-13
365,3.20552e-12
366,8.49931e-12
367,1.09463e-11
368,8.68753e-12
369,8.13063e-11
370,1.68327e-09
371,2.01882e-09
372,4.09345e-11
373,1.40821e-07
374,6.48603e-11
375,2.2569e-13
376,1.50389e-12
377,6.86504e-10
378,3.12781e-10
379,1.33496e-11
380,1.50511e-09
381,6.60024e-10
382,9.43024e-10
383,2.12564e-09
384,1.27473e-08
385,1.23487e-15
386,1.27521e-16
387,3.29638e-13
